Year,Month,Time,BadDebtCollected,OutstandingBadDebt,Anticipation,Change
1972,Dec,1972.916667,71,58,0,0
1973,Jan,1973,60,63,0,0
1973,Feb,1973.083333,66,85,0,0
1973,Mar,1973.166667,87,71,0,0
1973,Apr,1973.25,75,63,0,0
1973,May,1973.333333,64,67,0,0
1973,June,1973.416667,70,60,0,0
1973,Jul,1973.5,63,69,0,0
1973,Aug,1973.583333,75,65,0,0
1973,Sep,1973.666667,71,70,0,0
1973,Oct,1973.75,75,68,0,0
1973,Nov,1973.833333,71,62,0,0
1973,Dec,1973.916667,69,73,0,0
1974,Jan,1974,62,70,0,0
1974,Feb,1974.083333,71,80,0,0
1974,Mar,1974.166667,74,74,0,0
1974,Apr,1974.25,72,75,0,0
1974,May,1974.333333,69,67,0,0
1974,June,1974.416667,66,60,0,0
1974,Jul,1974.5,61,52,0,0
1974,Aug,1974.583333,57,45,0,0
1974,Sep,1974.666667,49,46,0,0
1974,Oct,1974.75,50,41,0,0
1974,Nov,1974.833333,49,47,0,0
1974,Dec,1974.916667,55,33,1,0
1975,Jan,1975,21,32,0,1
1975,Feb,1975.083333,19,29,0,1
1975,Mar,1975.166667,19,25,0,1
1975,Apr,1975.25,20,27,0,1
1975,May,1975.333333,15,28,0,1
1975,June,1975.416667,18,23,0,1
