MillionsOfDollars,Time,Quarter
2386,2000,Q1
2687,2000.25,Q2
3107,2000.5,Q3
4315,2000.75,Q4
2964,2001,Q1
3169,2001.25,Q2
3732,2001.5,Q3
5462,2001.75,Q4
3697,2002,Q1
4164,2002.25,Q2
4756,2002.5,Q3
6980,2002.75,Q4
4202,2003,Q1
4624,2003.25,Q2
5131,2003.5,Q3
6989,2003.75,Q4
4668,2004,Q1
5396,2004.25,Q2
6034,2004.5,Q3
8449,2004.75,Q4
5479,2005,Q1
6080,2005.25,Q2
6647,2005.5,Q3
9227,2005.75,Q4
6118,2006,Q1
6702,2006.25,Q2
7335,2006.5,Q3
10693,2006.75,Q4
6959,2007,Q1
7603,2007.25,Q2
8473,2007.5,Q3
12899,2007.75,Q4
7927,2008,Q1
8750,2008.25,Q2
9928,2008.5,Q3
13418,2008.75,Q4
8990,2009,Q1
9801,2009.25,Q2
11500,2009.5,Q3
14724,2009.75,Q4
10095,2010,Q1
11022,2010.25,Q2
12024,2010.5,Q3
16533,2010.75,Q4
10787,2011,Q1
11339,2011.25,Q2
11890,2011.5,Q3
16256,2011.75,Q4
10940,2012,Q1
11347,2012.25,Q2
12099,2012.5,Q3
