Robberies,Month,Time
41,January,1966.0000
39,February,1966.0833
50,March,1966.1667
40,April,1966.2500
43,May,1966.3333
38,June,1966.4167
44,July,1966.5000
35,August,1966.5833
39,September,1966.6667
35,October,1966.7500
29,November,1966.8333
49,December,1966.9167
50,January,1967.0000
59,February,1967.0833
63,March,1967.1667
32,April,1967.2500
39,May,1967.3333
47,June,1967.4167
53,July,1967.5000
60,August,1967.5833
57,September,1967.6667
52,October,1967.7500
70,November,1967.8333
90,December,1967.9167
74,January,1968.0000
62,February,1968.0833
55,March,1968.1667
84,April,1968.2500
94,May,1968.3333
70,June,1968.4167
108,July,1968.5000
139,August,1968.5833
120,September,1968.6667
97,October,1968.7500
126,November,1968.8333
149,December,1968.9167
158,January,1969.0000
124,February,1969.0833
140,March,1969.1667
109,April,1969.2500
114,May,1969.3333
77,June,1969.4167
120,July,1969.5000
133,August,1969.5833
110,September,1969.6667
92,October,1969.7500
97,November,1969.8333
78,December,1969.9167
99,January,1970.0000
107,February,1970.0833
112,March,1970.1667
90,April,1970.2500
98,May,1970.3333
125,June,1970.4167
155,July,1970.5000
190,August,1970.5833
236,September,1970.6667
189,October,1970.7500
174,November,1970.8333
178,December,1970.9167
136,January,1971.0000
161,February,1971.0833
171,March,1971.1667
149,April,1971.2500
184,May,1971.3333
155,June,1971.4167
276,July,1971.5000
224,August,1971.5833
213,September,1971.6667
279,October,1971.7500
268,November,1971.8333
287,December,1971.9167
238,January,1972.0000
213,February,1972.0833
257,March,1972.1667
293,April,1972.2500
212,May,1972.3333
246,June,1972.4167
353,July,1972.5000
339,August,1972.5833
308,September,1972.6667
247,October,1972.7500
257,November,1972.8333
322,December,1972.9167
298,January,1973.0000
273,February,1973.0833
312,March,1973.1667
249,April,1973.2500
286,May,1973.3333
279,June,1973.4167
309,July,1973.5000
401,August,1973.5833
309,September,1973.6667
328,October,1973.7500
353,November,1973.8333
354,December,1973.9167
327,January,1974.0000
324,February,1974.0833
285,March,1974.1667
243,April,1974.2500
241,May,1974.3333
287,June,1974.4167
355,July,1974.5000
460,August,1974.5833
364,September,1974.6667
487,October,1974.7500
452,November,1974.8333
391,December,1974.9167
500,January,1975.0000
451,February,1975.0833
375,March,1975.1667
372,April,1975.2500
302,May,1975.3333
316,June,1975.4167
398,July,1975.5000
394,August,1975.5833
431,September,1975.6667
431,October,1975.7500
