Observation,FTindex,FTCindex,UKCarProd
1,148.5,96.21,121.874
2,165.4,93.74,126.26
3,178.5,91.37,145.248
4,187.3,86.31,160.37
5,195.9,84.98,163.648
6,205.2,86.46,178.195
7,191.5,90.04,187.197
8,183,94.74,195.916
9,184.5,92.43,199.253
10,181.1,92.41,227.616
11,173.7,91.65,215.363
12,185.4,89.38,231.728
13,201.8,91.05,231.767
14,198,89.89,211.211
15,168,90.16,185.2
16,161.6,86.78,152.404
17,170.2,88.45,156.163
18,184.5,90.69,151.567
19,211,86.03,213.683
20,218.3,84.85,244.543
21,231.7,84.07,253.111
22,247.4,81.96,266.58
23,301.9,80.03,253.543
24,323.8,79.8,261.675
25,314.1,80.19,249.407
26,321,80.13,246.248
27,312.9,80.42,293.062
28,323.7,82.67,285.809
29,349.3,82.78,366.265
30,310.4,82.61,374.241
31,295.8,82.47,375.764
32,301.2,81.86,354.411
33,285.8,79.7,249.527
34,271.7,77.89,206.165
35,283.6,77.61,258.41
36,295.7,78.9,279.342
37,309.3,79.72,264.824
38,295.7,78.08,312.983
39,342,77.54,300.932
40,335.1,76.99,323.424
41,344.4,76.25,312.78
42,360.9,78.13,363.336
43,346.5,80.38,378.275
44,340.6,81.78,414.457
45,340.3,82.81,459.158
46,323.3,84.99,460.397
47,345.6,86.31,462.279
48,349.3,85.95,434.255
49,359.7,90.73,475.89
50,320,92.42,439.365
51,299.9,87.18,431.666
