Sales,Leading Indicator
200.1,10.01
199.5,10.07
199.4,10.32
198.9,9.75
199.0,10.33
200.2,10.13
198.6,10.36
200.0,10.32
200.3,10.13
201.2,10.16
201.6,10.58
201.5,10.62
201.5,10.86
203.5,11.20
204.9,10.74
207.1,10.56
210.5,10.48
210.5,10.77
209.8,11.33
208.8,10.96
209.5,11.16
213.2,11.70
213.7,11.39
215.1,11.42
218.7,11.94
219.8,11.24
220.5,11.59
223.8,10.96
222.8,11.40
223.8,11.02
221.7,11.01
222.3,11.23
220.8,11.33
219.4,10.83
220.1,10.84
220.6,11.14
218.9,10.38
217.8,10.90
217.7,11.05
215.0,11.11
215.3,11.01
215.9,11.22
216.7,11.21
216.7,11.91
217.7,11.69
218.7,10.93
222.9,10.99
224.9,11.01
222.2,10.84
220.7,10.76
220.0,10.77
218.7,10.88
217.0,10.49
215.9,10.50
215.8,11.00
214.1,10.98
212.3,10.61
213.9,10.48
214.6,10.53
213.6,11.07
212.1,10.61
211.4,10.86
213.1,10.34
212.9,10.78
213.3,10.80
211.5,10.33
212.3,10.44
213.0,10.50
211.0,10.75
210.7,10.40
210.1,10.40
211.4,10.34
210.0,10.55
209.7,10.46
208.8,10.82
208.8,10.91
208.8,10.87
210.6,10.67
211.9,11.11
212.8,10.88
212.5,11.28
214.8,11.27
215.3,11.44
217.5,11.52
218.8,12.10
220.7,11.83
222.2,12.62
226.7,12.41
228.4,12.43
233.2,12.73
235.7,13.01
237.1,12.74
240.6,12.73
243.8,12.76
245.3,12.92
246.0,12.64
246.3,12.79
247.7,13.05
247.6,12.69
247.8,13.01
249.4,12.90
249.0,13.12
249.9,12.47
250.5,12.47
251.5,12.94
249.0,13.10
247.6,12.91
248.8,13.39
250.4,13.13
250.7,13.34
253.0,13.34
253.7,13.14
255.0,13.49
256.2,13.87
256.0,13.39
257.4,13.59
260.4,13.27
260.0,13.70
261.3,13.20
260.4,13.32
261.6,13.15
260.8,13.30
259.8,12.94
259.0,13.29
258.9,13.26
257.4,13.08
257.7,13.24
257.9,13.31
257.4,13.52
257.3,13.02
257.6,13.25
258.9,13.12
257.8,13.26
257.7,13.11
257.2,13.30
257.5,13.06
256.8,13.32
257.5,13.10
257.0,13.27
257.6,13.64
257.3,13.58
257.5,13.87
259.6,13.53
261.1,13.41
262.9,13.25
263.3,13.50
262.8,13.58
261.8,13.51
262.2,13.77
262.7,13.40
