Passengers,Month,Time
112,Jan,1949
118,Feb,1949.0833
132,Mar,1949.1667
129,Apr,1949.25
121,May,1949.3333
135,Jun,1949.4167
148,Jul,1949.5
148,Aug,1949.5833
136,Sep,1949.6667
119,Oct,1949.75
104,Nov,1949.8333
118,Dec,1949.9167
115,Jan,1950
126,Feb,1950.0833
141,Mar,1950.1667
135,Apr,1950.25
125,May,1950.3333
149,Jun,1950.4167
170,Jul,1950.5
170,Aug,1950.5833
158,Sep,1950.6667
133,Oct,1950.75
114,Nov,1950.8333
140,Dec,1950.9167
145,Jan,1951
150,Feb,1951.0833
178,Mar,1951.1667
163,Apr,1951.25
172,May,1951.3333
178,Jun,1951.4167
199,Jul,1951.5
199,Aug,1951.5833
184,Sep,1951.6667
162,Oct,1951.75
146,Nov,1951.8333
166,Dec,1951.9167
171,Jan,1952
180,Feb,1952.0833
193,Mar,1952.1667
181,Apr,1952.25
183,May,1952.3333
218,Jun,1952.4167
230,Jul,1952.5
242,Aug,1952.5833
209,Sep,1952.6667
191,Oct,1952.75
172,Nov,1952.8333
194,Dec,1952.9167
196,Jan,1953
196,Feb,1953.0833
236,Mar,1953.1667
235,Apr,1953.25
229,May,1953.3333
243,Jun,1953.4167
264,Jul,1953.5
272,Aug,1953.5833
237,Sep,1953.6667
211,Oct,1953.75
180,Nov,1953.8333
201,Dec,1953.9167
204,Jan,1954
188,Feb,1954.0833
235,Mar,1954.1667
227,Apr,1954.25
234,May,1954.3333
264,Jun,1954.4167
302,Jul,1954.5
293,Aug,1954.5833
259,Sep,1954.6667
229,Oct,1954.75
203,Nov,1954.8333
229,Dec,1954.9167
242,Jan,1955
233,Feb,1955.0833
267,Mar,1955.1667
269,Apr,1955.25
270,May,1955.3333
315,Jun,1955.4167
364,Jul,1955.5
347,Aug,1955.5833
312,Sep,1955.6667
274,Oct,1955.75
237,Nov,1955.8333
278,Dec,1955.9167
284,Jan,1956
277,Feb,1956.0833
317,Mar,1956.1667
313,Apr,1956.25
318,May,1956.3333
374,Jun,1956.4167
413,Jul,1956.5
405,Aug,1956.5833
355,Sep,1956.6667
306,Oct,1956.75
271,Nov,1956.8333
306,Dec,1956.9167
315,Jan,1957
301,Feb,1957.0833
356,Mar,1957.1667
348,Apr,1957.25
355,May,1957.3333
422,Jun,1957.4167
465,Jul,1957.5
467,Aug,1957.5833
404,Sep,1957.6667
347,Oct,1957.75
305,Nov,1957.8333
336,Dec,1957.9167
340,Jan,1958
318,Feb,1958.0833
362,Mar,1958.1667
348,Apr,1958.25
363,May,1958.3333
435,Jun,1958.4167
491,Jul,1958.5
505,Aug,1958.5833
404,Sep,1958.6667
359,Oct,1958.75
310,Nov,1958.8333
337,Dec,1958.9167
360,Jan,1959
342,Feb,1959.0833
406,Mar,1959.1667
396,Apr,1959.25
420,May,1959.3333
472,Jun,1959.4167
548,Jul,1959.5
559,Aug,1959.5833
463,Sep,1959.6667
407,Oct,1959.75
362,Nov,1959.8333
405,Dec,1959.9167
417,Jan,1960
391,Feb,1960.0833
419,Mar,1960.1667
461,Apr,1960.25
472,May,1960.3333
535,Jun,1960.4167
622,Jul,1960.5
606,Aug,1960.5833
508,Sep,1960.6667
461,Oct,1960.75
390,Nov,1960.8333
432,Dec,1960.9167
